protocol_id,model_name,video_path,video_exists,frame_label_csv,segment_label_csv,trajectory_label_csv,keyframe_contact_sheet,two_second_contact_sheet,next_action
huaiqiu_mcts_06_lateral_right_multi_confuser_return,matrix_game3,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/matrix_game3/video.mp4,True,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/matrix_game3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/matrix_game3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/matrix_game3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/comparison/matrix_game3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/comparison/matrix_game3_2s_contact_sheet.jpg,label_video
huaiqiu_mcts_06_lateral_right_multi_confuser_return,genie3,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/genie3/video.mp4,False,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/genie3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/genie3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/genie3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/comparison/genie3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_06_lateral_right_multi_confuser_return/comparison/genie3_2s_contact_sheet.jpg,collect_genie3_video
huaiqiu_mcts_07_courtyard_confuser_loop_return,matrix_game3,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/matrix_game3/video.mp4,True,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/matrix_game3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/matrix_game3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/matrix_game3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/comparison/matrix_game3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/comparison/matrix_game3_2s_contact_sheet.jpg,label_video
huaiqiu_mcts_07_courtyard_confuser_loop_return,genie3,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/genie3/video.mp4,False,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/genie3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/genie3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/genie3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/comparison/genie3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_07_courtyard_confuser_loop_return/comparison/genie3_2s_contact_sheet.jpg,collect_genie3_video
huaiqiu_mcts_08_interior_peek_multi_return,matrix_game3,runs/huaiqiu_mcts_08_interior_peek_multi_return/matrix_game3/video.mp4,True,runs/huaiqiu_mcts_08_interior_peek_multi_return/matrix_game3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_08_interior_peek_multi_return/matrix_game3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_08_interior_peek_multi_return/matrix_game3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_08_interior_peek_multi_return/comparison/matrix_game3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_08_interior_peek_multi_return/comparison/matrix_game3_2s_contact_sheet.jpg,label_video
huaiqiu_mcts_08_interior_peek_multi_return,genie3,runs/huaiqiu_mcts_08_interior_peek_multi_return/genie3/video.mp4,False,runs/huaiqiu_mcts_08_interior_peek_multi_return/genie3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_08_interior_peek_multi_return/genie3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_08_interior_peek_multi_return/genie3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_08_interior_peek_multi_return/comparison/genie3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_08_interior_peek_multi_return/comparison/genie3_2s_contact_sheet.jpg,collect_genie3_video
huaiqiu_mcts_09_double_revisit_with_wrong_store,matrix_game3,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/matrix_game3/video.mp4,True,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/matrix_game3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/matrix_game3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/matrix_game3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/comparison/matrix_game3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/comparison/matrix_game3_2s_contact_sheet.jpg,label_video
huaiqiu_mcts_09_double_revisit_with_wrong_store,genie3,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/genie3/video.mp4,False,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/genie3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/genie3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/genie3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/comparison/genie3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_09_double_revisit_with_wrong_store/comparison/genie3_2s_contact_sheet.jpg,collect_genie3_video
huaiqiu_mcts_10_hard_long_offscreen_multi_revisit,matrix_game3,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/matrix_game3/video.mp4,True,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/matrix_game3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/matrix_game3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/matrix_game3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/comparison/matrix_game3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/comparison/matrix_game3_2s_contact_sheet.jpg,label_video
huaiqiu_mcts_10_hard_long_offscreen_multi_revisit,genie3,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/genie3/video.mp4,False,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/genie3/labels/human_frame_labels_template.csv,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/genie3/labels/human_segment_labels_template.csv,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/genie3/labels/human_trajectory_label_template.csv,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/comparison/genie3_keyframes_contact_sheet.jpg,runs/huaiqiu_mcts_10_hard_long_offscreen_multi_revisit/comparison/genie3_2s_contact_sheet.jpg,collect_genie3_video
